Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22500,      10451,      19485
PPU_DUMA_11KV,      20926,      23314,      18122
RPPLNGI2    ,      12859,      14772,      11136
PDTJLNMASJID,       9051,      10357,       7838
BELLA       ,       6934,       7886,       6005
PSTPDGN     ,       5602,       6338,       4851
PAMDRA      ,      19785,      22216,      17134
DUMA4       ,      16419,      11430,      14219
PLSDRA      ,      10729,       3999,       9291
SSU_UPTWRES_IR1,       9060,       3773,       7846
ATRIA_1     ,       7454,       8498,       6455
HAWKER      ,       4349,       3547,       3766
PRMTE       ,      11205,       6063,       9704
PRMTA       ,      10107,       5738,       8752
PMONTB      ,       9166,       4419,       7938
DUMA7       ,      17773,      20175,      15391
HAUS        ,      14199,       8749,      12296
DUMA6       ,       7317,       2370,       6336
DUMA13      ,       4240,       1166,       3672
SSU_DUMA5_IM2,       3702,       1129,       3206
PLNGI_B     ,      12827,      14739,      11108
PLNGI_D     ,       9025,      10336,       7815
PDTLITRAK   ,       9048,      10356,       7836
DUMA12      ,       6938,       7891,       6008
TMNGH4      ,       5758,       3969,       4987
SSU_TMEGAH3_IR1,       5203,       2995,       4506
TMNGH2      ,       4794,       2459,       4152
SPRK9       ,       6947,       7898,       6016
BOMBA       ,       6680,       6706,       5785
SPRK8       ,       5560,       3563,       4815
SSU_UPTWRES_IM2,      15508,      11574,      13430
MAYBANK     ,      10389,       8485,       8997
DUMA8       ,       9590,       6384,       8305
SSU_DSARCNTR_IR1,      12822,      14734,      11104
DUMA9       ,       8294,       9476,       7183
DUMA1       ,       5952,       6745,       5154
ELITE       ,       4941,       5575,       4279
DUMA10      ,       8058,       9205,       6979
BALAIPOLIS  ,       7951,       9079,       6885
SSU_DUMA5_M11KV,          0,          0,          0
